"Libellé";"Indicateur du climat des affaires - Tous secteurs - France métropolitaine";"Codes"
"idBank";"001565530";""
"Période";"";""
"2018-10";"104.1";"A"
"2018-09";"105.5";"A"
"2018-08";"105.3";"A"
"2018-07";"106.1";"A"
"2018-06";"106.6";"A"
"2018-05";"106.8";"A"
"2018-04";"108.8";"A"
"2018-03";"109.5";"A"
"2018-02";"109.5";"A"
"2018-01";"110.4";"A"
"2017-12";"111.4";"A"
"2017-11";"110.5";"A"
"2017-10";"108.7";"A"
"2017-09";"109.2";"A"
"2017-08";"108.4";"A"
"2017-07";"107.5";"A"
"2017-06";"106.6";"A"
"2017-05";"105.3";"A"
"2017-04";"104.5";"A"
"2017-03";"104.3";"A"
"2017-02";"104.1";"A"
"2017-01";"103.5";"A"
"2016-12";"103.9";"A"
"2016-11";"101.8";"A"
"2016-10";"101.3";"A"
"2016-09";"101.2";"A"
"2016-08";"100.6";"A"
"2016-07";"101.2";"A"
"2016-06";"100.4";"A"
"2016-05";"102.2";"A"
"2016-04";"100.6";"A"
"2016-03";"100.5";"A"
"2016-02";"100.2";"A"
"2016-01";"101.2";"A"
"2015-12";"99.4";"A"
"2015-11";"100.9";"A"
"2015-10";"100.7";"A"
"2015-09";"99.7";"A"
"2015-08";"99.8";"A"
"2015-07";"98.3";"A"
"2015-06";"97.9";"A"
"2015-05";"97.1";"A"
"2015-04";"96.1";"A"
"2015-03";"95.0";"A"
"2015-02";"93.7";"A"
"2015-01";"92.9";"A"
"2014-12";"92.7";"A"
"2014-11";"92.6";"A"
"2014-10";"90.7";"A"
"2014-09";"90.6";"A"
"2014-08";"91.2";"A"
"2014-07";"92.5";"A"
"2014-06";"93.2";"A"
"2014-05";"94.3";"A"
"2014-04";"94.6";"A"
"2014-03";"94.8";"A"
"2014-02";"93.2";"A"
"2014-01";"93.3";"A"
"2013-12";"92.7";"A"
"2013-11";"93.0";"A"
"2013-10";"93.5";"A"
"2013-09";"94.1";"A"
"2013-08";"90.7";"A"
"2013-07";"87.6";"A"
"2013-06";"86.0";"A"
"2013-05";"84.9";"A"
"2013-04";"83.7";"A"
"2013-03";"85.3";"A"
"2013-02";"87.0";"A"
"2013-01";"87.0";"A"
"2012-12";"87.0";"A"
"2012-11";"86.3";"A"
"2012-10";"84.6";"A"
"2012-09";"86.8";"A"
"2012-08";"88.1";"A"
"2012-07";"88.6";"A"
"2012-06";"90.9";"A"
"2012-05";"91.9";"A"
"2012-04";"95.4";"A"
"2012-03";"94.9";"A"
"2012-02";"92.4";"A"
"2012-01";"92.5";"A"
"2011-12";"93.3";"A"
"2011-11";"94.7";"A"
"2011-10";"96.7";"A"
"2011-09";"98.2";"A"
"2011-08";"101.3";"A"
"2011-07";"106.3";"A"
"2011-06";"108.8";"A"
"2011-05";"108.4";"A"
"2011-04";"109.6";"A"
"2011-03";"109.7";"A"
"2011-02";"108.6";"A"
"2011-01";"107.8";"A"
"2010-12";"106.9";"A"
"2010-11";"105.1";"A"
"2010-10";"104.9";"A"
"2010-09";"104.0";"A"
"2010-08";"102.5";"A"
"2010-07";"100.1";"A"
"2010-06";"98.1";"A"
"2010-05";"98.4";"A"
"2010-04";"97.1";"A"
"2010-03";"92.8";"A"
"2010-02";"93.2";"A"
"2010-01";"92.7";"A"
"2009-12";"90.5";"A"
"2009-11";"89.9";"A"
"2009-10";"87.7";"A"
"2009-09";"85.0";"A"
"2009-08";"81.5";"A"
"2009-07";"77.6";"A"
"2009-06";"75.6";"A"
"2009-05";"72.7";"A"
"2009-04";"69.1";"A"
"2009-03";"68.2";"A"
"2009-02";"71.3";"A"
"2009-01";"73.9";"A"
"2008-12";"75.7";"A"
"2008-11";"79.7";"A"
"2008-10";"83.4";"A"
"2008-09";"92.1";"A"
"2008-08";"94.8";"A"
"2008-07";"96.1";"A"
"2008-06";"100.4";"A"
"2008-05";"103.4";"A"
"2008-04";"106.2";"A"
"2008-03";"108.9";"A"
"2008-02";"109.3";"A"
"2008-01";"110.6";"A"
"2007-12";"111.7";"A"
"2007-11";"112.2";"A"
"2007-10";"112.0";"A"
"2007-09";"112.7";"A"
"2007-08";"113.4";"A"
"2007-07";"114.5";"A"
"2007-06";"115.2";"A"
"2007-05";"114.1";"A"
"2007-04";"113.8";"A"
"2007-03";"113.3";"A"
"2007-02";"112.8";"A"
"2007-01";"111.1";"A"
"2006-12";"111.3";"A"
"2006-11";"112.7";"A"
"2006-10";"111.7";"A"
"2006-09";"111.8";"A"
"2006-08";"111.4";"A"
"2006-07";"111.1";"A"
"2006-06";"109.4";"A"
"2006-05";"110.0";"A"
"2006-04";"108.3";"A"
"2006-03";"107.4";"A"
"2006-02";"107.3";"A"
"2006-01";"109.1";"A"
"2005-12";"107.9";"A"
"2005-11";"106.6";"A"
"2005-10";"106.9";"A"
"2005-09";"104.0";"A"
"2005-08";"104.8";"A"
"2005-07";"105.0";"A"
"2005-06";"104.3";"A"
"2005-05";"103.1";"A"
"2005-04";"105.4";"A"
"2005-03";"106.0";"A"
"2005-02";"106.5";"A"
"2005-01";"106.4";"A"
"2004-12";"106.9";"A"
"2004-11";"105.5";"A"
"2004-10";"107.9";"A"
"2004-09";"106.7";"A"
"2004-08";"106.9";"A"
"2004-07";"106.8";"A"
"2004-06";"105.2";"A"
"2004-05";"106.0";"A"
"2004-04";"106.1";"A"
"2004-03";"105.0";"A"
"2004-02";"104.8";"A"
"2004-01";"105.7";"A"
"2003-12";"101.5";"A"
"2003-11";"100.1";"A"
"2003-10";"96.2";"A"
"2003-09";"95.2";"A"
"2003-08";"95.2";"A"
"2003-07";"94.3";"A"
"2003-06";"91.9";"A"
"2003-05";"91.9";"A"
"2003-04";"87.6";"A"
"2003-03";"90.0";"A"
"2003-02";"95.4";"A"
"2003-01";"96.2";"A"
"2002-12";"99.7";"A"
"2002-11";"97.0";"A"
"2002-10";"95.5";"A"
"2002-09";"97.2";"A"
"2002-08";"98.1";"A"
"2002-07";"98.9";"A"
"2002-06";"101.7";"A"
"2002-05";"102.6";"A"
"2002-04";"101.3";"A"
"2002-03";"98.3";"A"
"2002-02";"96.3";"A"
"2002-01";"95.7";"A"
"2001-12";"94.7";"A"
"2001-11";"94.0";"A"
"2001-10";"93.9";"A"
"2001-09";"98.9";"A"
"2001-08";"100.6";"A"
"2001-07";"102.1";"A"
"2001-06";"104.4";"A"
"2001-05";"105.3";"A"
"2001-04";"107.5";"A"
"2001-03";"112.7";"A"
"2001-02";"112.5";"A"
"2001-01";"112.6";"A"
"2000-12";"113.5";"A"
"2000-11";"114.1";"A"
"2000-10";"116.4";"A"
"2000-09";"118.0";"A"
"2000-08";"117.9";"A"
"2000-07";"117.1";"A"
"2000-06";"117.8";"A"
"2000-05";"115.7";"A"
"2000-04";"116.3";"A"
"2000-03";"116.8";"A"
"2000-02";"115.7";"A"
"2000-01";"115.4";"A"
"1999-12";"118.4";"A"
"1999-11";"117.0";"A"
"1999-10";"115.3";"A"
"1999-09";"113.8";"A"
"1999-08";"110.6";"A"
"1999-07";"107.7";"A"
"1999-06";"102.7";"A"
"1999-05";"103.4";"A"
"1999-04";"101.8";"A"
"1999-03";"100.9";"A"
"1999-02";"102.6";"A"
"1999-01";"102.4";"A"
"1998-12";"102.3";"A"
"1998-11";"105.1";"A"
"1998-10";"107.0";"A"
"1998-09";"109.5";"A"
"1998-08";"111.6";"A"
"1998-07";"112.3";"A"
"1998-06";"113.2";"A"
"1998-05";"111.9";"A"
"1998-04";"110.8";"A"
"1998-03";"112.9";"A"
"1998-02";"109.8";"A"
"1998-01";"108.5";"A"
"1997-12";"109.0";"A"
"1997-11";"106.6";"A"
"1997-10";"104.9";"A"
"1997-09";"105.9";"A"
"1997-08";"102.3";"A"
"1997-07";"100.1";"A"
"1997-06";"100.7";"A"
"1997-05";"98.4";"A"
"1997-04";"99.2";"A"
"1997-03";"99.1";"A"
"1997-02";"99.0";"A"
"1997-01";"96.7";"A"
"1996-12";"93.9";"A"
"1996-11";"91.9";"A"
"1996-10";"91.4";"A"
"1996-09";"90.2";"A"
"1996-08";"88.8";"A"
"1996-07";"87.9";"A"
"1996-06";"91.2";"A"
"1996-05";"91.7";"A"
"1996-04";"94.0";"A"
"1996-03";"91.7";"A"
"1996-02";"89.0";"A"
"1996-01";"88.6";"A"
"1995-12";"88.4";"A"
"1995-11";"93.5";"A"
"1995-10";"95.7";"A"
"1995-09";"99.3";"A"
"1995-08";"102.0";"A"
"1995-07";"104.6";"A"
"1995-06";"104.9";"A"
"1995-05";"106.6";"A"
"1995-04";"106.1";"A"
"1995-03";"107.7";"A"
"1995-02";"107.9";"A"
"1995-01";"109.5";"A"
"1994-12";"109.3";"A"
"1994-11";"110.2";"A"
"1994-10";"110.2";"A"
"1994-09";"109.0";"A"
"1994-08";"106.8";"A"
"1994-07";"104.3";"A"
"1994-06";"103.6";"A"
"1994-05";"103.0";"A"
"1994-04";"100.4";"A"
"1994-03";"96.8";"A"
"1994-02";"93.5";"A"
"1994-01";"92.1";"A"
"1993-12";"89.2";"A"
"1993-11";"86.9";"A"
"1993-10";"83.6";"A"
"1993-09";"82.2";"A"
"1993-08";"80.5";"A"
"1993-07";"79.1";"A"
"1993-06";"75.2";"A"
"1993-05";"79.1";"A"
"1993-04";"78.4";"A"
"1993-03";"75.7";"A"
"1993-02";"76.7";"A"
"1993-01";"77.3";"A"
"1992-12";"79.7";"A"
"1992-11";"82.5";"A"
"1992-10";"83.4";"A"
"1992-09";"84.7";"A"
"1992-08";"86.8";"A"
"1992-07";"88.8";"A"
"1992-06";"93.1";"A"
"1992-05";"93.8";"A"
"1992-04";"92.3";"A"
"1992-03";"95.6";"A"
"1992-02";"95.5";"A"
"1992-01";"92.8";"A"
"1991-12";"92.2";"A"
"1991-11";"92.7";"A"
"1991-10";"93.9";"A"
"1991-09";"94.8";"A"
"1991-08";"93.6";"A"
"1991-07";"93.0";"A"
"1991-06";"91.8";"A"
"1991-05";"91.0";"A"
"1991-04";"92.9";"A"
"1991-03";"93.4";"A"
"1991-02";"88.0";"A"
"1991-01";"94.3";"A"
"1990-12";"96.6";"A"
"1990-11";"98.8";"A"
"1990-10";"100.3";"A"
"1990-09";"102.3";"A"
"1990-08";"105.0";"A"
"1990-07";"108.7";"A"
"1990-06";"108.7";"A"
"1990-05";"110.8";"A"
"1990-04";"111.1";"A"
"1990-03";"112.0";"A"
"1990-02";"114.1";"A"
"1990-01";"116.0";"A"
"1989-12";"115.5";"A"
"1989-11";"116.4";"A"
"1989-10";"116.5";"A"
"1989-09";"116.1";"A"
"1989-08";"116.2";"A"
"1989-07";"117.2";"A"
"1989-06";"117.5";"A"
"1989-05";"117.5";"A"
"1989-04";"118.7";"A"
"1989-03";"117.5";"A"
"1989-02";"117.6";"A"
"1989-01";"118.8";"A"
"1988-12";"117.3";"A"
"1988-11";"116.5";"A"
"1988-10";"116.5";"A"
"1988-09";"117.3";"A"
"1988-08";"117.0";"A"
"1988-07";"116.8";"A"
"1988-06";"115.7";"A"
"1988-05";"116.1";"A"
"1988-04";"117.0";"A"
"1988-03";"116.3";"A"
"1988-02";"117.1";"A"
"1988-01";"116.4";"A"
"1987-12";"108.2";"A"
"1987-11";"107.6";"A"
"1987-10";"108.1";"A"
"1987-09";"107.2";"A"
"1987-08";"105.3";"A"
"1987-07";"104.4";"A"
"1987-06";"102.2";"A"
"1987-05";"103.2";"A"
"1987-04";"101.5";"A"
"1987-03";"98.8";"A"
"1987-02";"100.4";"A"
"1987-01";"100.5";"A"
"1986-12";"101.3";"A"
"1986-11";"102.2";"A"
"1986-10";"102.4";"A"
"1986-09";"104.0";"A"
"1986-08";"103.8";"A"
"1986-07";"103.7";"A"
"1986-06";"103.4";"A"
"1986-05";"105.4";"A"
"1986-04";"104.5";"A"
"1986-03";"105.7";"A"
"1986-02";"103.6";"A"
"1986-01";"102.8";"A"
"1985-12";"103.3";"A"
"1985-11";"102.5";"A"
"1985-10";"101.5";"A"
"1985-09";"101.4";"A"
"1985-08";"98.9";"A"
"1985-07";"98.6";"A"
"1985-06";"98.8";"A"
"1985-05";"96.2";"A"
"1985-04";"96.8";"A"
"1985-03";"95.7";"A"
"1985-02";"93.5";"A"
"1985-01";"92.4";"A"
"1984-12";"94.1";"A"
"1984-11";"94.5";"A"
"1984-10";"94.2";"A"
"1984-09";"94.3";"A"
"1984-08";"94.7";"A"
"1984-07";"94.0";"A"
"1984-06";"90.3";"A"
"1984-05";"90.0";"A"
"1984-04";"90.0";"A"
"1984-03";"90.4";"A"
"1984-02";"89.4";"A"
"1984-01";"88.5";"A"
"1983-12";"86.3";"A"
"1983-11";"86.1";"A"
"1983-10";"85.9";"A"
"1983-09";"83.2";"A"
"1983-08";"84.2";"A"
"1983-07";"83.5";"A"
"1983-06";"84.5";"A"
"1983-05";"84.3";"A"
"1983-04";"87.1";"A"
"1983-03";"89.9";"A"
"1983-02";"90.4";"A"
"1983-01";"90.8";"A"
"1982-12";"91.3";"A"
"1982-11";"89.8";"A"
"1982-10";"87.0";"A"
"1982-09";"86.9";"A"
"1982-08";"90.9";"A"
"1982-07";"92.4";"A"
"1982-06";"96.0";"A"
"1982-05";"96.7";"A"
"1982-04";"95.4";"A"
"1982-03";"95.6";"A"
"1982-02";"99.3";"A"
"1982-01";"99.3";"A"
"1981-12";"95.3";"A"
"1981-11";"94.6";"A"
"1981-10";"92.5";"A"
"1981-09";"93.2";"A"
"1981-08";"92.1";"A"
"1981-07";"90.6";"A"
"1981-06";"89.3";"A"
"1981-05";"89.9";"A"
"1981-04";"87.8";"A"
"1981-03";"87.0";"A"
"1981-02";"87.9";"A"
"1981-01";"89.1";"A"
"1980-12";"89.9";"A"
"1980-11";"92.9";"A"
"1980-10";"92.5";"A"
"1980-09";"94.7";"A"
"1980-08";"93.7";"A"
"1980-07";"95.5";"A"
"1980-06";"101.5";"A"
"1980-05";"103.6";"A"
"1980-04";"106.6";"A"
"1980-03";"108.8";"A"
"1980-02";"107.1";"A"
"1980-01";"107.8";"A"
"1979-12";"111.0";"A"
"1979-11";"111.2";"A"
"1979-10";"111.1";"A"
"1979-09";"108.9";"A"
"1979-08";"109.3";"A"
"1979-07";"109.2";"A"
"1979-06";"106.0";"A"
"1979-05";"105.4";"A"
"1979-04";"105.0";"A"
"1979-03";"104.0";"A"
"1979-02";"104.1";"A"
"1979-01";"105.4";"A"
"1978-12";"106.0";"A"
"1978-11";"104.4";"A"
"1978-10";"103.0";"A"
"1978-09";"103.2";"A"
"1978-08";"102.2";"A"
"1978-07";"101.2";"A"
"1978-06";"101.7";"A"
"1978-05";"102.7";"A"
"1978-04";"102.8";"A"
"1978-03";"95.1";"A"
"1978-02";"91.8";"A"
"1978-01";"92.6";"A"
"1977-12";"91.8";"A"
"1977-11";"92.9";"A"
"1977-10";"94.2";"A"
"1977-09";"94.8";"A"
"1977-08";"94.6";"A"
"1977-07";"94.4";"A"
"1977-06";"95.3";"A"
"1977-05";"94.0";"A"
"1977-04";"96.5";"A"
"1977-03";"100.1";"A"
"1977-02";"101.9";"A"
"1977-01";"99.7";"A"
